nombre,posicion,edad,nacionalidad,fecha_nacimiento,pie,altura_cm,valor_mercado,foto_url,flag_url,partidos,goles,asistencias,tarjetas_amarillas,tarjetas_rojas,minutos,equipo,liga,pais,escudo_url,participaciones_gol,goles_por_90,asistencias_por_90,temporada,grupo,rating,id
Giorgi Mamardashvili,Portero,25.0,Georgia,"Sep 29, 2000",Izquierdo,197.0,28000000.0,https://img.a.transfermarkt.technology/portrait/medium/502676-1716542116.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/53.png?lm=1520611569,11,0,0,0,0,934,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,0,0.0,0.0,2025/26,,0.0,1
Alisson,Portero,33.0,Brazil,"Oct 2, 1992",Derecho,193.0,17000000.0,https://img.a.transfermarkt.technology/portrait/medium/105470-1668522221.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,31,0,0,1,0,2756,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,0,0.0,0.0,2025/26,,0.0,2
Freddie Woodman,Portero,29.0,England,"Mar 4, 1997",Derecho,188.0,3000000.0,https://img.a.transfermarkt.technology/portrait/medium/226049-1737883837.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,1,0,0,0,0,90,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,0,0.0,0.0,2025/26,,0.0,3
Harvey Davies,Portero,22.0,England,"Sep 3, 2003",Izquierdo,190.0,500000.0,https://img.a.transfermarkt.technology/portrait/medium/706815-1755504936.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,0,0,0,0,0,0,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,0,0.0,0.0,2025/26,,0.0,4
Ibrahima Konaté,Defensa Central,26.0,France,"May 25, 1999",Derecho,194.0,50000000.0,https://img.a.transfermarkt.technology/portrait/medium/357119-1669190550.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1520611569,37,2,0,6,0,3131,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,2,0.06,0.0,2025/26,,0.0,5
Giovanni Leoni,Defensa Central,19.0,Italy,"Dec 21, 2006",Derecho,196.0,25000000.0,https://img.a.transfermarkt.technology/portrait/medium/1086619-1751532399.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1520611569,1,0,0,0,0,81,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,0,0.0,0.0,2025/26,,0.0,6
Virgil van Dijk,Defensa Central,34.0,Netherlands,"Jul 8, 1991",Derecho,195.0,18000000.0,https://img.a.transfermarkt.technology/portrait/medium/139208-1702049837.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1520611569,40,5,3,5,0,3600,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,8,0.12,0.07,2025/26,,0.0,7
Joe Gomez,Defensa Central,28.0,England,"May 23, 1997",Derecho,188.0,15000000.0,https://img.a.transfermarkt.technology/portrait/medium/256178-1746645094.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,22,0,2,3,0,838,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,2,0.0,0.21,2025/26,,0.0,8
Rhys Williams,Defensa Central,25.0,England,"Feb 3, 2001",Derecho,195.0,500000.0,https://img.a.transfermarkt.technology/portrait/medium/503679-1674491393.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,0,0,0,0,0,0,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,0,0.0,0.0,2025/26,,0.0,9
Milos Kerkez,Lateral Izquierdo,22.0,Hungary,"Nov 7, 2003",Izquierdo,180.0,40000000.0,https://img.a.transfermarkt.technology/portrait/medium/730861-1660762995.jpg?lm=1,https://tmssl.akamaized.net//images/flagge/verysmall/178.png?lm=1521635893,36,1,2,4,0,2509,Liverpool FC,Premier League,Inglaterra,https://tmssl.akamaized.net//images/wappen/normal/31.png?lm=1727873452,3,0.04,0.07,2025/26,,0.0,10
